bacterial_count,somatic_cell_count,status
156048.51454463016,70320.86939584398,0
160526.83342569307,63302.686562091,0
471622.8088526271,52844.09216920019,0
269118.0405974804,86679.99462139113,0
251722.13788355608,73159.84277511222,0
369098.2908368586,61538.76983528028,0
602264.127513922,16448.88070156576,0
625145.0807067738,24639.238537958186,0
77968.73587443173,19475.776336842377,0
218768.20565371055,41079.82722202319,0
39245.505780956504,13167.115368407523,0
742464.5480075722,34621.25398149206,0
580411.9380923505,38668.43052738007,0
749015.1914736924,3263.6516414472517,0
603355.9603700796,5619.105682320591,0
706662.5272686607,20048.142196830944,0
97224.19749716451,65317.95053548467,0
584201.5514314441,75937.22593483073,0
498949.8270503194,83909.22003799178,0
667515.7140006147,45974.369902906285,0
97065.45168169378,97463.25673987724,0
396800.16088503733,22056.03521834194,0
505756.9319329117,56510.40960230439,0
53951.198510623384,6022.120351376492,0
281334.99535063707,4099.836722237837,0
251314.47541941976,47429.09322874999,0
122511.55558384788,47388.55210433546,0
340304.4436030653,35670.33597598134,0
570819.8390798996,22060.298952384972,0
617042.9328850737,66548.42299626039,0
524330.2242159314,18314.077799992247,0
3211.6566543811396,53004.64423108997,0
172533.46738430296,22587.93349023319,0
26059.077855162705,28092.131242272677,0
310348.9920675921,30978.41997689028,0
91420.74048795667,6826.914671874318,0
459162.9042178019,82595.16188444299,0
49714.87440896655,40157.762336511325,0
660070.239174973,74061.66642790314,0
368271.97021463217,24024.024338451476,0
6541.016683419998,59172.05881950118,0
576948.508244231,45797.388541634646,0
641191.5599448688,10473.875336778938,0
150747.21169995336,35110.84476235778,0
461554.5728944807,4084.391906969731,0
247715.1178705945,39396.1422229263,0
96581.64108419242,72857.06533256848,0
39796.95154679258,57418.376546022635,0
396030.9023213611,92993.50666942648,0
410792.11673795147,72664.11811022888,0
107215.64559789459,3308.7814382250167,0
147310.8177430388,77999.14296626035,0
167712.251367114,23242.907156226956,0
685045.517945736,21406.237625358215,0
68167.31275734556,674.9288747852744,0
273844.8438203938,97267.54239310864,0
68613.57446789392,45845.08856328774,0
152346.54089219793,6876.608208033874,0
294804.30361303163,49524.85500515172,0
543054.6224334171,7916.113725160212,0
474826.07538883755,95053.09801933954,0
17417.599260821342,10775.402151358438,0
55319.88160474427,20457.270505924396,0
343388.02690929803,84045.1430501098,0
140731.83768716222,82018.32354871421,0
353856.47453772015,51849.42892502849,0
248046.28325916763,81986.36474815573,0
438221.3411230277,52964.037895263886,0
462797.1972982343,34175.565263120625,0
376603.8354685166,35503.527917212254,0
175910.35064615347,65459.79857028672,0
646649.9121396262,39584.89142029206,0
420316.0742192272,5977.59257969791,0
548557.5855208568,76572.96664774635,0
735118.9635520983,896.0638552124256,0
529029.8641275426,99755.87974246233,0
288756.49118224764,85090.0753352881,0
471970.5986252786,48539.86319769846,0
